title,info,link
Air: Analytic imbalance rectifier for continual learning,"D Fang, Y Zhu, R Fang, C Chen, Z Zeng… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.10349
MOS: Model Surgery for Pre-Trained Model-Based Class-Incremental Learning,"HL Sun,DW Zhou,H Zhao,L Gan,DC Zhan… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.09441
"Continual learning for energy management systems: A review of methods and applications, and a case study","AN Sayed,Y Himeur,I Varlamis,F Bensaali- Applied Energy, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306261925001886
Exploiting the semantic knowledge of pre-trained text-encoders for continual learning,"L Yu, Z Tao,H Yao,J Van de Weijer, C Xu - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.01076
Read between the layers: Leveraging multi-layer representations for rehearsal-free continual learning with pre-trained models,"K Ahrens, HH Lehmann,JH Lee,S Wermter- arXiv preprint arXiv …, 2023 - arxiv.org",https://arxiv.org/abs/2312.08888
Sparse Orthogonal Parameters Tuning for Continual Learning,"KP Ning, HJ Ke,YY Liu, JY Yao,YH Tian… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2411.02813
Premonition: Using generative models to preempt future data changes in continual learning,"MD McDonnell,D Gong,E Abbasnejad… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2403.07356
DST: Continual event prediction by decomposing and synergizing the task commonality and specificity,"Y Zhang,S Zhai, Y Chen,S Zhang,S Bi, Y Meng… - Information Processing …, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0306457324002589
Joint Memory Optimization for Continual Learning,"Z Ma, Y Ma,X Hong, H Li… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10877933/
KOPPA: Improving Prompt-based Continual Learning with Key-Query Orthogonal Projection and Prototype-based One-Versus-All,"Q Tran,L Tran,K Than,T Tran,D Phung… - arXiv preprint arXiv …, 2023 - arxiv.org",https://arxiv.org/abs/2311.15414
Continual learning in medical image analysis: A survey,"X Wu,Z Xu,RK Tong- Computers in Biology and Medicine, 2024 - Elsevier",https://www.sciencedirect.com/science/article/pii/S0010482524012915
D'OH: Decoder-Only Random Hypernetworks for Implicit Neural Representations,"C Gordon,LE MacDonald… - Proceedings of the …, 2024 - openaccess.thecvf.com",https://openaccess.thecvf.com/content/ACCV2024/html/Gordon_DOH_Decoder-Only_Random_Hypernetworks_for_Implicit_Neural_Representations_ACCV_2024_paper.html
Open continual sampling with hypersphere knowledge transfer for rapid feature selection,"X Cao,X Wang, H Liang, B Wei,X Yang- Applied Soft Computing, 2025 - Elsevier",https://www.sciencedirect.com/science/article/pii/S1568494624014388
"Adaptive Rank, Reduced Forgetting: Knowledge Retention in Continual Learning Vision-Language Models with Dynamic Rank-Selective LoRA","H Lu, C Zhao, J Xue,L Yao,K Moore… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.01004
ComprehendEdit: A Comprehensive Dataset and Evaluation Framework for Multimodal Knowledge Editing,"Y Ma,X Hong,S Zhang, H Li,Z Zhu,W Luo… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.12821
Avoiding Catastrophic Forgetting Via Neuronal Decay,"RO Malashin, MA Mikhalkova - 2024 Wave Electronics and its …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10564665/
A Benchmark for Incremental Micro-expression Recognition,"Z Lai,X Hong, Y Wang, X Li - arXiv preprint arXiv:2501.19111, 2025 - arxiv.org",https://arxiv.org/abs/2501.19111
Sculpting [CLS] Features for Pre-Trained Model-Based Class-Incremental Learning,"MO Yildirim,ECG Yildirim,J Vanschoren- arXiv preprint arXiv:2502.14762, 2025 - arxiv.org",https://arxiv.org/abs/2502.14762
IncSAR: A Dual Fusion Incremental Learning Framework for SAR Target Recognition,"G Karantaidis, A Pantsios,I Kompatsiaris… - IEEE …, 2025 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10838563/
Dual Consolidation for Pre-Trained Model-Based Domain-Incremental Learning,"DW Zhou, ZW Cai,HJ Ye, L Zhang,DC Zhan- arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2410.00911
"How green is continual learning, really? Analyzing the energy consumption in continual training of vision foundation models","T Trinci,S Magistri,R Verdecchia… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2409.18664
On Continually Tracing Origins of LLM-Generated Text and Its Application in Detecting Cheating in Student Coursework,"Q Wang, H Li - Big Data and Cognitive Computing, 2025 - mdpi.com",https://www.mdpi.com/2504-2289/9/3/50
ICL-TSVD: Bridging Theory and Practice in Continual Learning with Pre-trained Models,"L Peng,J Elenter,J Agterberg,A Ribeiro… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2410.00645
Navigating Semantic Drift in Task-Agnostic Class-Incremental Learning,"F Wu,L Cheng,S Tang, X Zhu,C Fang… - arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2502.07560
Achieving Upper Bound Accuracy of Joint Training in Continual Learning,"S Momeni,B Liu- arXiv preprint arXiv:2502.12388, 2025 - arxiv.org",https://arxiv.org/abs/2502.12388
ReFu: Recursive Fusion for Exemplar-Free 3D Class-Incremental Learning,"Y Yang,L Zhong,H Zhuang- arXiv preprint arXiv:2409.12326, 2024 - arxiv.org",https://arxiv.org/abs/2409.12326
Linked Adapters: Linking Past and Future to Present for Effective Continual Learning,"DS Chandra,PK Srijith,D Rezazadegan… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2412.10687
Integrating Dual Prototypes for Task-Wise Adaption in Pre-Trained Model-Based Class-Incremental Learning,"Z Xu,S Yang, B Xu,J Zhao,F Shen- arXiv preprint arXiv:2411.17766, 2024 - arxiv.org",https://arxiv.org/abs/2411.17766
Exploiting Fine-Grained Prototype Distribution for Boosting Unsupervised Class Incremental Learning,"J Liu, H Liu, Z Qin,W Han, Y Fan,Q Yang… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2408.10046
CASA: Class-Agnostic Shared Attributes in Vision-Language Models for Efficient Incremental Object Detection,"M Guo,Y Liu,Z Lin,P Peng,Y Tian- arXiv preprint arXiv:2410.05804, 2024 - arxiv.org",https://arxiv.org/abs/2410.05804
SiFT: A Serial Framework with Textual Guidance for Federated Learning,"X Li, W Zhang,Y Yu, WS Zheng,T Zhang… - … Conference on Medical …, 2024 - Springer",https://link.springer.com/chapter/10.1007/978-3-031-72117-5_61
Multiple Queries with Multiple Keys: A Precise Prompt Matching Paradigm for Prompt-based Continual Learning,"D Tu,H Yi, Y Wang, B Xu, J Zhao,F Shen- arXiv preprint arXiv …, 2025 - arxiv.org",https://arxiv.org/abs/2501.12635
Continual Learning Using a Kernel-Based Method Over Foundation Models,"S Momeni,S Mazumder,B Liu- arXiv preprint arXiv:2412.15571, 2024 - arxiv.org",https://arxiv.org/abs/2412.15571
Adaptive Margin Global Classifier for Exemplar-Free Class-Incremental Learning,"Z Yao,X Chang- Chinese Conference on Pattern Recognition and …, 2024 - Springer",https://link.springer.com/chapter/10.1007/978-981-97-8487-5_33
"Pattern Recognition and Computer Vision: 7th Chinese Conference, PRCV 2024, Urumqi, China, October 18–20, 2024, Proceedings, Part V","Z Lin,MM Cheng, R He, K Ubul, W Silamu,H Zha… - 2025 - books.google.com",https://books.google.com/books?hl=en&lr=&id=jxorEQAAQBAJ&oi=fnd&pg=PR5&ots=hINDc_tLDv&sig=CQmicorK8esjnTFwNEXivpK1yls
Adapt and Refine: A Few-Shot Class-Incremental Learner via Pre-Trained Models,"S Qiang, Z Xiong,Y Liang,J Wan,D Zhang- Chinese Conference on …, 2024 - Springer",https://link.springer.com/chapter/10.1007/978-981-97-8487-5_30
Random Representations Outperform Online Continually Learned Representations,"A Prabhu,S Sinha,P Kumaraguru,PHS Torr… - arXiv preprint arXiv …, 2024 - arxiv.org",https://arxiv.org/abs/2402.08823
Buffer with Feature Tokens: Combating Confusion in Medical Image Continual Learning,"Z Fan, W Chen, J Fan, R Yu - 2024 IEEE International …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10822502/
From Model Complexity Reduction to Feature Selection in Deep Learning: a Regularization Story,E Tartaglione- 2024 - telecom-paris.hal.science,https://telecom-paris.hal.science/tel-04803096/
Continual Learning of Object Classification in the Real World,J Mei- 2024 - search.proquest.com,https://search.proquest.com/openview/0a5b8375547694effbe07bf4c691d0ef/1?pq-origsite=gscholar&cbl=18750&diss=y
Boosting Multiple Views for pretrained-based Continual Learning,"Q Tran,TL Tran, K Doan,T Tran,K Than… - … Conference on Learning … - openreview.net",https://openreview.net/forum?id=AZR4R3lw7y
CLDyB: Towards Dynamic Benchmarking for Continual Learning with Pre-trained Models,"S Chen, Y Liao, X Sun, K Ma, Y Wei - The Thirteenth International … - openreview.net",https://openreview.net/forum?id=RnxwxGXxex
Class Incremental Learning from First Principles: A Review,"N Ashtekar, J Zhu,VG Honavar- Transactions on Machine Learning … - openreview.net",https://openreview.net/forum?id=sZdtTJInUg
Sampling Point Method: A Generalized Algorithm for Class-Incremental Learning of Linear Model,"Y Cheng - … International Symposium on Intelligent Robotics and …, 2024 - ieeexplore.ieee.org",https://ieeexplore.ieee.org/abstract/document/10649695/
KAC: Kolmogorov-Arnold Classifier for Continual Learning,"Y Hu,Z Liang, F Yang, Q Hou, X Liu,MM Cheng- openreview.net",https://openreview.net/forum?id=qFeeJ2ZQiH
Revisiting Prompt-based Methods in Class Incremental Learning,"Z Tao, L Yu,H Yao, C Xu - openreview.net",https://openreview.net/forum?id=QfGc9txfGO
Freeze and Cluster: A simple baseline for Rehearsal-Free Continual Category Discovery,"X Yu, C Zhang,P Gu, X He - openreview.net",https://openreview.net/forum?id=kfFmqu3zQm
ProCEED: Prototype Consolidation and Ensemble-based Exemplar-Free Deep Incremental Learning,"D KANDEL, D Dera - openreview.net",https://openreview.net/forum?id=gDZd8UGaxS
Exemplar-free Continual Representation Learning with Symmetric Distillation,"TPA Wiggers,T Kasarla,M Ayoughi,P Groth, P Mettes - openreview.net",https://openreview.net/forum?id=CKx7eOYFG8
Variable Forward Regularization to Replace Ridge in Online Linear Regression,"J Wang, M Hu, N Li,PN Suganthan- openreview.net",https://openreview.net/forum?id=lFzUHGebeb
On the Transferability of Parameter-Efficient Continual Learning for Vision Transformers,"L Ackermann, VL Nguyen - NeurIPS 2024 Workshop on Fine-Tuning in … - openreview.net",https://openreview.net/forum?id=s8tjQ3dWFP
Reducing class-wise confusion for incremental learning with disentangled manifolds,"H Chen, Y Wang, G Jiang,Q Hu- openreview.net",https://openreview.net/forum?id=mZvzvwIu8f
Supplement Materials for RCS-Prompt: Learning Prompt to Rearrange Class Space for Prompt-based Continual Learning,"L Yang, H Zhao, Y Yu, X Zeng, X Li - ecva.net",https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/06307-supp.pdf
Continually Learning Self-Supervised Representations,"A Gomez-Villa - 19th, 2024 - cvc.uab.es",https://www.cvc.uab.es/cvcrd/wp-content/uploads/2024/07/CVCRD24-Booklet-1-comprimido_3.pdf#page=55
Class-Incremental Learning with CLIP: Adaptive Representation Adjustment and Parameter Fusion Supplementary Material,"L Huang, X Cao, H Lu, X Liu - fq.pkwyx.com",https://fq.pkwyx.com/default/https/www.ecva.net/papers/eccv_2024/papers_ECCV/papers/07092-supp.pdf
